,RowID,Project,Date,Time,Location,Species,Race_table,Genetics,Genetics_old,Genetics_specific,Genetics_conf,Adipose,Fork_length_mm,Weight_g,ID,Photo,Tissue_sample,Method,Handling,Specimen,Comment,
1,78,Sutter Bypass 2023,1/4/2023,13:20,Colusa Weir,Chinook,Fall,Fall,CHIN_CaCV_SBP23A001,Fall,,Present,38,0.47,SBP23A001,,YES,Seine,"Measure, genetics, and euthanize",YES,,
2,102,Sutter Bypass 2023,1/6/2023,14:20,Laux road rice field,Chinook,Fall,Fall,CHIN_CaCV_SBP23A002,Fall,,Present,32,0.28,SBP23A002,3200,YES,Seine,"Measure, genetics, and euthanize",YES,,
3,103,Sutter Bypass 2023,1/6/2023,14:20,Laux road rice field,Chinook,Fall,Fall,CHIN_CaCV_SBP23A003,Fall,,Present,39,0.5,SBP23A003,,YES,Seine,"Measure, genetics, and euthanize",YES,,
4,104,Sutter Bypass 2023,1/6/2023,14:20,Laux road rice field,Chinook,Fall,Fall,CHIN_CaCV_SBP23A004,Fall,,Present,36,0.36,SBP23A004,3201,YES,Seine,"Measure, genetics, and euthanize",YES,,
5,105,Sutter Bypass 2023,1/6/2023,15:45,Sutter Bypass at Franklin road west side,Chinook,Fall,Spring,CHIN_CaCV_SBP23A005,SpButte,,Present,40,0.54,SBP23A005,3202,YES,Seine,"Measure, genetics, and euthanize",YES,,
6,106,Sutter Bypass 2023,1/6/2023,15:45,Sutter Bypass at Franklin road west side,Chinook,Fall,Spring,CHIN_CaCV_SBP23A006,SpButte,,Present,39,0.46,SBP23A006,3203,YES,Seine,"Measure, genetics, and euthanize",YES,,
7,112,Sutter Bypass 2023,1/9/2023,8:40,Tisdale Bypass at Reclamation Road bridge,Chinook,Winter,,,,,Present,86,6.45,SBP23A007,3207,YES,Seine,"Measure, genetics, and release",NO,,
8,113,Sutter Bypass 2023,1/9/2023,8:40,Tisdale Bypass at Reclamation Road bridge,Chinook,Winter,,,,,Present,91,91,SBP23A008,3209,YES,Seine,"Measure, genetics, and release",NO,,
9,116,Willow Bend 2023,1/9/2023,12:00,Willow Bend east side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A009,Fall,,Present,37,0.34,SBP23A009,3210,YES,Seine,"Measure, genetics, and euthanize",YES,,
10,117,Willow Bend 2023,1/9/2023,12:00,Willow Bend east side,Chinook,Fall,Fall,CHIN_CaCV_SBP23A010,Fall,,Present,38,0.41,SBP23A010,3215,YES,Seine,"Measure, genetics, and euthanize",YES,,
